student_id,name,attendance,internal_marks,study_hours_per_day,previous_cgpa,assignments_completed,extracurricular,performance
46,Ananya Reddy,54.97,37.2,7.8,9.3,6,0,Low
47,Varun Tandon,98.57,86.75,8.81,4.15,5,1,High
48,Aditya Agarwal,91.84,86.75,2.67,8.72,1,1,Average
49,Vivaan Tandon,53.35,87.16,4.6,5.83,3,0,Low
50,Swati Saxena,51.59,52.98,8.64,9.8,4,1,Low
51,Atharv Bhatia,63.98,98.68,5.36,9.64,1,1,Average
52,Kunal Saxena,97.75,48.58,1.08,6.61,5,1,Low
53,Amit Kapoor,46.94,92.97,1.9,4.27,6,0,Low
54,Neha Roy,81.21,95.82,7.37,5.18,6,0,High
55,Neha Tripathi,77.39,76.44,1.25,9.4,8,1,Average
56,Ankita Rao,59.57,78.8,5.54,5.15,10,1,Low
57,Aisha Bhatia,76.93,51.07,5.48,4.0,4,0,Average
58,Yash Reddy,76.4,52.56,4.42,8.05,8,1,Average
59,Ankita Das,79.53,49.87,6.64,7.72,1,0,Low
60,Zara Tripathi,53.48,43.94,0.24,5.47,7,0,Low
61,Ishaan Sethi,93.17,70.3,7.18,6.3,6,0,High
62,Atharv Dhawan,81.26,92.49,8.6,9.31,6,0,High
63,Varun Yadav,71.08,33.52,2.49,9.09,7,0,Low
64,Suresh Malhotra,80.05,99.15,5.95,9.7,7,1,High
65,Siddharth Srivastava,66.75,41.14,8.61,6.7,3,1,Low
66,Pooja Bose,69.08,46.75,4.4,8.28,3,1,Low
67,Arjun Tripathi,93.58,35.64,1.51,6.3,2,0,Low
68,Siddharth Bhatia,64.46,67.98,4.16,5.24,6,1,Average
69,Kavya Das,96.76,31.37,8.81,7.45,7,0,Low
70,Rohan Menon,85.21,89.74,9.53,6.51,8,0,High
71,Suresh Yadav,56.38,63.99,3.89,8.01,6,0,Low
72,Reyansh Sethi,95.17,98.65,5.34,9.44,9,0,High
73,Zara Bose,65.72,90.68,1.82,5.56,5,0,Average
74,Suresh Patel,60.25,91.57,2.78,9.71,6,1,Average
75,Siddharth Sethi,68.22,82.43,0.52,9.71,3,0,Average
76,Ananya Joshi,42.42,32.17,2.47,9.04,9,0,Low
77,Shaurya Arora,68.41,38.01,9.48,6.79,4,1,Low
78,Nikhil Verma,76.43,82.35,1.15,8.92,4,0,Average
79,Nikhil Dhawan,95.73,70.31,9.08,6.25,3,0,High
80,Yash Khanna,89.83,47.0,6.97,5.81,10,0,Low
81,Aarav Tripathi,86.96,54.3,4.28,6.22,8,1,Average
82,Aisha Rao,89.34,37.39,9.61,7.81,7,0,Low
83,Zara Shukla,84.03,97.58,2.7,8.85,8,1,Average
84,Rhea Krishnan,89.54,71.47,3.22,5.47,1,1,Average
85,Atharv Jain,85.03,69.89,6.68,6.02,7,1,Average
86,Amit Iyer,52.73,85.85,3.4,9.28,4,0,Low
87,Rhea Verma,45.14,80.41,4.89,8.55,7,1,Low
88,Isha Malhotra,45.58,45.51,6.92,5.84,9,1,Low
89,Riya Chatterjee,71.86,59.79,7.46,5.98,7,1,Average
90,Pranav Agarwal,53.83,80.49,3.16,8.46,2,0,Low
91,Meera Menon,56.59,71.27,7.6,7.58,1,0,Low
92,Dev Mukherjee,61.65,51.16,7.08,4.76,0,0,Average
93,Isha Agarwal,81.85,38.84,8.68,6.95,0,1,Low
94,Deepak Kumar,66.43,42.91,0.51,9.65,7,0,Low
95,Reyansh Krishnan,64.04,35.19,6.29,4.32,2,1,Low
96,Rhea Chaudhary,47.11,83.51,6.06,8.74,3,1,Low
97,Gaurav Pillai,57.84,71.2,4.29,7.41,0,0,Low
98,Shaurya Sharma,77.53,48.53,0.81,5.44,8,0,Low
99,Komal Yadav,64.51,78.26,4.7,4.2,4,1,Average
100,Aisha Mehta,44.27,46.34,2.65,8.75,9,0,Low
101,Shaurya Das,72.67,75.33,9.08,8.96,1,0,Average
102,Komal Tiwari,75.7,87.7,9.21,6.63,7,1,High
103,Ritika Bose,96.56,65.03,4.94,4.48,0,1,Average
104,Gaurav Walia,76.22,31.81,2.29,8.05,9,0,Low
105,Priya Rao,89.29,70.34,7.63,5.05,8,1,High
106,Shreya Roy,99.82,60.51,8.14,9.81,7,1,Average
107,Neha Tiwari,59.26,37.32,1.61,6.47,7,1,Low
108,Siddharth Tiwari,88.81,68.51,4.55,5.89,5,0,Average
109,Vihaan Iyer,91.89,87.74,0.01,9.22,7,1,Average
110,Priya Malhotra,71.11,73.58,4.98,6.65,0,0,Average
111,Simran Reddy,47.86,50.16,8.81,6.91,0,0,Low
112,Ayaan Sethi,58.65,30.96,4.08,5.35,1,1,Low
113,Suresh Agarwal,89.93,64.89,7.17,7.05,4,1,Average
114,Arjun Banerjee,98.81,47.06,5.51,6.3,9,0,Low
115,Meera Das,86.36,89.81,3.4,8.73,4,0,Average
116,Kavya Roy,90.25,70.59,6.6,9.19,7,1,High
117,Kiran Pandey,73.12,68.04,4.55,5.93,3,0,Average
118,Neha Sethi,54.01,84.29,0.44,8.47,6,1,Low
119,Sai Chaudhary,98.85,64.67,0.37,7.01,9,1,Average
120,Arjun Agarwal,45.98,93.73,0.15,4.86,10,0,Low
121,Ramesh Walia,86.89,48.55,6.23,6.38,1,1,Low
122,Harsh Kumar,91.56,56.6,3.17,8.31,7,0,Average
123,Sai Chopra,54.09,77.91,2.87,5.36,1,1,Low
124,Sneha Singh,82.23,37.04,1.66,5.8,0,0,Low
125,Shaurya Rao,57.6,56.24,1.46,7.19,9,0,Low
126,Dhruv Yadav,44.74,90.96,6.2,5.44,9,0,Low
127,Ankita Kapoor,78.27,62.17,6.67,9.39,7,1,Average
128,Komal Chatterjee,49.48,60.92,3.46,7.53,10,1,Low
129,Nisha Khanna,67.41,51.15,9.99,9.12,1,0,Average
130,Priya Sharma,61.54,50.71,6.99,4.13,10,1,Average
131,Suresh Mukherjee,73.96,78.01,7.45,4.29,9,1,Average
132,Ankita Tandon,86.54,46.11,8.02,5.31,3,1,Low
133,Yash Chaudhary,80.85,39.57,0.97,7.76,0,1,Low
134,Atharv Iyer,42.0,55.54,1.31,9.46,5,1,Low
135,Diya Agarwal,47.93,67.76,9.71,7.19,4,0,Low
136,Ishaan Menon,98.04,50.66,8.7,8.83,7,0,Average
137,Reyansh Tiwari,91.61,80.7,9.8,9.8,8,1,High
138,Nikhil Pandey,40.84,67.56,4.55,8.04,10,1,Low
139,Harsh Menon,89.35,95.82,1.08,5.4,0,1,Average
140,Ayaan Joshi,78.86,74.48,4.64,8.21,10,1,Average
141,Nisha Yadav,42.72,32.6,9.96,4.7,3,0,Low
142,Shreya Sethi,62.26,96.46,6.96,7.24,9,0,Average
143,Pranav Chaudhary,45.94,64.25,4.08,9.71,0,1,Low
144,Vihaan Tiwari,66.68,46.53,3.63,9.89,5,1,Low
145,Swati Chopra,56.55,97.77,9.49,8.95,1,0,Low
146,Arjun Malhotra,75.83,31.5,7.87,5.46,2,0,Low
147,Priya Nair,52.43,45.12,8.7,5.97,2,0,Low
148,Aarav Ghosh,99.25,67.82,7.99,4.66,0,0,Average
149,Ritika Tripathi,87.4,46.66,3.24,5.05,0,0,Low
150,Rhea Saxena,71.57,82.2,4.76,8.67,8,0,Average
151,Zara Sethi,53.29,73.06,7.27,9.45,10,1,Low
152,Rohan Chaudhary,97.84,34.26,4.79,6.41,10,0,Low
153,Nisha Arora,44.41,35.66,6.08,4.39,4,1,Low
154,Aisha Chaudhary,71.83,61.76,6.05,4.6,1,0,Average
155,Aisha Bose,93.29,58.97,8.27,6.39,1,1,Average
156,Suresh Patel,79.91,56.2,1.53,9.54,1,0,Average
157,Nikhil Malhotra,45.59,36.76,7.39,8.87,8,0,Low
158,Meera Arora,73.7,76.9,4.11,9.24,6,0,Average
159,Ramesh Shah,58.75,37.25,5.07,4.93,7,0,Low
160,Ramesh Malhotra,61.01,68.94,1.15,5.67,3,1,Average
161,Vivaan Rao,98.47,87.29,6.14,7.86,0,1,High
162,Kiran Tandon,56.4,83.37,9.22,6.11,2,0,Low
163,Nisha Tripathi,64.05,39.93,6.33,4.18,8,0,Low
164,Vihaan Nair,67.22,41.02,3.12,5.95,9,0,Low
165,Rohan Arora,49.44,73.25,6.74,5.63,10,1,Low
166,Meera Walia,66.52,49.12,7.55,4.68,6,0,Low
167,Aarav Pillai,80.71,64.06,6.67,4.27,6,0,Average
168,Aarav Jain,58.09,44.79,1.37,5.53,5,0,Low
169,Arjun Tiwari,84.82,42.3,3.8,8.22,8,1,Low
170,Kiran Tiwari,91.71,32.96,0.19,9.53,5,1,Low
171,Varun Bajaj,82.57,59.24,1.15,4.13,5,0,Average
172,Aisha Bhatia,67.61,78.27,3.62,6.62,1,0,Average
173,Siddharth Reddy,64.03,35.51,8.71,8.47,3,1,Low
174,Payal Sethi,44.58,74.33,5.31,5.16,5,1,Low
175,Gaurav Sethi,88.9,46.54,1.46,5.18,9,0,Low
176,Ankita Khanna,44.52,96.59,6.28,6.78,9,1,Low
177,Rhea Kumar,78.58,99.06,3.23,9.83,5,0,Average
178,Riya Yadav,68.14,74.2,7.96,7.55,5,0,Average
179,Zara Bhatia,67.11,33.98,8.32,4.46,1,1,Low
180,Sneha Arora,73.26,85.43,8.96,6.7,9,0,Average
181,Rahul Sethi,68.54,40.56,0.62,4.62,5,0,Low
182,Divya Mishra,50.35,47.34,4.38,6.64,8,0,Low
183,Arjun Roy,95.08,57.12,7.74,8.07,0,1,Average
184,Pooja Patel,45.67,77.49,2.84,8.34,10,0,Low
185,Krishna Arora,74.96,39.9,3.5,9.81,10,1,Low
186,Neha Dhawan,82.53,35.93,5.59,7.86,5,0,Low
187,Rahul Mishra,89.74,81.71,6.85,7.16,10,1,High
188,Dhruv Joshi,41.09,51.62,9.51,6.05,7,0,Low
189,Neha Roy,49.3,50.71,7.88,7.05,8,0,Low
190,Payal Chaudhary,92.58,73.26,5.97,4.93,2,0,High
191,Gaurav Chaudhary,42.62,55.5,7.2,9.82,9,1,Low
192,Ankita Khanna,54.04,46.74,9.66,8.71,3,1,Low
193,Shaurya Iyer,99.07,62.32,2.82,6.29,8,1,Average
194,Simran Srivastava,88.08,39.69,2.5,7.85,5,0,Low
195,Suresh Shukla,91.07,49.95,7.63,5.64,8,0,Low
196,Vihaan Tiwari,45.5,93.74,8.17,9.31,0,1,Low
197,Sai Sethi,70.12,46.5,9.95,6.25,0,1,Low
198,Gaurav Agarwal,60.12,40.22,0.38,9.5,7,0,Low
199,Ayaan Mukherjee,66.92,30.37,0.79,5.54,2,1,Low
200,Arjun Mehta,54.26,38.53,2.38,7.83,9,1,Low
201,Simran Nair,90.2,64.99,5.36,7.79,9,0,Average
202,Amit Mishra,57.48,30.11,3.53,7.42,2,0,Low
203,Nisha Agarwal,44.06,66.82,5.07,9.93,8,0,Low
204,Kavya Krishnan,42.61,57.08,3.73,8.48,5,0,Low
205,Aditya Ghosh,83.98,73.98,7.72,8.41,5,0,High
206,Sakshi Rao,72.76,86.95,1.75,8.67,7,1,Average
207,Aditya Iyer,88.69,34.42,7.76,6.75,4,0,Low
208,Diya Gupta,93.15,52.09,3.1,6.39,8,1,Average
209,Priya Mehta,85.2,43.38,3.57,8.69,10,1,Low
210,Atharv Jain,87.96,60.59,4.0,6.64,6,1,Average
211,Reyansh Shukla,81.52,55.71,7.97,5.6,1,1,Average
212,Neha Mukherjee,76.15,87.56,5.45,5.93,1,1,High
213,Aditya Ghosh,58.39,72.18,4.26,8.14,5,1,Low
214,Neha Chopra,76.89,60.45,6.39,8.75,0,0,Average
215,Ramesh Arora,64.37,65.92,7.5,4.96,0,0,Average
216,Divya Pandey,80.69,60.67,1.26,5.42,10,1,Average
217,Rhea Kumar,96.97,32.27,1.53,6.7,5,1,Low
218,Vivaan Rao,74.44,67.06,3.98,7.9,3,0,Average
219,Pranav Bajaj,69.94,57.09,5.62,5.57,4,1,Average
220,Atharv Chaudhary,57.13,94.15,4.91,4.74,1,1,Low
221,Simran Kumar,99.84,86.74,9.68,9.92,10,1,High
222,Yash Mishra,73.0,50.33,3.0,4.95,10,0,Average
223,Divya Malhotra,70.53,38.5,2.01,4.83,7,0,Low
224,Riya Tiwari,74.34,62.72,9.83,4.78,1,0,Average
225,Krishna Bose,99.98,80.32,5.26,8.61,9,0,High
226,Siddharth Joshi,78.54,61.5,6.8,6.07,8,0,Average
227,Shaurya Reddy,65.96,93.75,0.55,4.74,2,1,Average
228,Diya Iyer,59.36,79.65,3.46,9.65,4,0,Low
229,Rahul Sethi,78.1,68.56,1.25,5.82,8,0,Average
230,Suresh Khanna,50.12,95.91,1.54,7.95,9,1,Low
231,Swati Pillai,42.47,90.46,0.81,9.69,9,1,Low
232,Swati Das,86.02,59.16,6.39,6.99,10,1,Average
233,Shaurya Chaudhary,68.98,86.33,6.85,5.78,1,0,Average
234,Tanvi Joshi,64.94,62.51,3.4,4.86,5,1,Average
235,Rhea Krishnan,85.64,66.05,1.06,5.45,1,1,Average
236,Shaurya Bose,48.45,33.54,9.45,9.18,6,0,Low
237,Rohan Das,96.03,80.48,1.9,4.96,8,1,Average
238,Nikhil Ghosh,69.84,36.3,3.93,6.74,3,0,Low
239,Meera Kapoor,42.92,49.69,5.98,9.06,10,1,Low
240,Divya Gupta,40.49,37.52,1.34,5.59,5,1,Low
241,Rahul Chaudhary,64.03,69.92,1.95,7.32,1,1,Average
242,Sai Tiwari,85.86,49.58,9.89,8.08,1,0,Low
243,Kunal Saxena,62.39,99.08,5.58,6.19,2,0,Average
244,Ishaan Arora,64.08,32.82,0.39,8.28,7,1,Low
245,Nikhil Roy,93.59,39.78,9.31,5.91,6,1,Low
246,Divya Roy,70.44,65.68,4.9,7.38,7,0,Average
247,Kunal Agarwal,80.43,98.59,5.84,8.78,10,0,High
248,Nikhil Agarwal,55.93,75.89,9.72,7.47,3,0,Low
249,Aditya Khanna,50.23,74.03,6.2,9.05,2,0,Low
250,Komal Pillai,96.89,37.69,0.19,5.88,2,1,Low
251,Amit Pillai,64.62,84.25,9.21,9.24,0,0,Average
252,Raj Roy,73.65,99.87,4.78,6.26,2,1,Average
253,Advik Krishnan,72.78,77.31,8.68,8.08,4,1,Average
254,Komal Jain,56.74,50.89,9.41,9.89,4,0,Low
255,Ayaan Khanna,59.02,54.42,9.34,8.77,4,1,Low
256,Aditya Mukherjee,80.6,56.58,9.8,8.91,2,1,Average
257,Advik Kapoor,97.32,35.53,9.24,7.94,7,0,Low
258,Ananya Singh,56.27,69.34,2.72,4.66,9,0,Low
259,Simran Agarwal,80.19,67.17,6.38,4.31,6,1,Average
260,Swati Agarwal,46.03,83.95,0.05,7.3,2,1,Low
261,Siddharth Patel,68.65,43.96,9.64,5.93,10,0,Low
262,Shreya Rao,79.14,46.26,7.39,9.1,0,0,Low
263,Aditya Sharma,96.04,32.54,8.36,8.73,2,1,Low
264,Krishna Saxena,57.9,72.19,9.28,6.01,7,1,Low
265,Simran Rao,68.08,43.5,1.13,4.97,7,1,Low
266,Harsh Chopra,40.85,53.6,2.95,8.05,3,0,Low
267,Atharv Joshi,93.82,87.89,5.15,4.52,10,0,High
268,Pooja Das,68.65,95.51,0.07,6.3,7,1,Average
269,Neha Mehta,74.95,70.1,2.62,6.16,3,0,Average
270,Sakshi Mukherjee,67.92,41.18,6.86,9.54,4,0,Low
271,Shreya Dhawan,62.05,45.46,9.57,6.87,7,1,Low
272,Ankita Arora,72.95,62.96,5.38,7.98,3,0,Average
273,Vihaan Malhotra,92.39,35.73,4.47,8.22,1,0,Low
274,Ayaan Walia,94.17,44.15,5.37,4.99,8,1,Low
275,Krishna Saxena,52.32,70.82,0.91,7.06,0,1,Low
276,Tanvi Chatterjee,64.93,69.47,5.59,8.04,4,0,Average
277,Raj Singh,88.99,82.21,5.78,4.27,5,0,High
278,Siddharth Joshi,96.07,34.83,9.34,4.19,6,0,Low
279,Nisha Pandey,85.95,98.48,6.46,6.52,6,1,High
280,Atharv Kapoor,44.81,97.49,8.75,4.8,5,0,Low
281,Zara Walia,63.58,38.91,9.79,9.01,0,1,Low
282,Ishaan Banerjee,83.15,59.69,3.79,5.38,7,1,Average
283,Harsh Verma,51.31,91.26,7.65,4.19,10,1,Low
284,Ananya Gupta,54.44,34.71,5.94,6.68,10,0,Low
285,Rahul Mukherjee,64.14,46.4,2.17,9.18,0,0,Low
286,Ananya Das,54.05,94.15,5.76,7.46,10,1,Low
287,Dev Bhatia,92.58,99.0,5.21,6.48,4,0,High
288,Kavya Sethi,92.78,93.81,6.26,6.56,7,0,High
289,Nisha Rao,80.28,85.01,3.19,6.5,2,1,Average
290,Vihaan Malhotra,85.26,63.15,8.49,5.8,2,1,Average
291,Pooja Sethi,64.76,59.16,5.3,6.33,4,0,Average
292,Priya Pandey,44.74,61.49,3.71,7.21,3,0,Low
293,Isha Pillai,80.42,72.2,8.74,5.13,9,0,High
294,Ritika Agarwal,92.17,53.31,9.57,4.09,3,0,Average
295,Siddharth Mukherjee,94.87,78.69,7.04,6.38,3,1,High
296,Zara Shah,62.84,67.36,3.59,5.57,8,1,Average
297,Sneha Tripathi,88.17,80.57,7.62,5.92,3,1,High
298,Meera Nair,42.74,90.49,7.41,4.1,8,1,Low
299,Diya Jain,51.77,46.1,5.7,5.47,8,1,Low
300,Krishna Kapoor,97.99,74.92,4.91,5.01,5,0,Average
301,Suresh Kumar,69.3,94.18,5.42,7.85,0,0,Average
302,Arjun Nair,96.71,76.78,7.64,6.47,10,0,High
303,Neha Jain,40.55,65.4,3.73,7.71,10,1,Low
304,Vivaan Saxena,40.94,67.25,4.11,4.1,4,1,Low
305,Amit Nair,88.79,77.18,8.06,9.46,1,0,High
306,Divya Tiwari,54.46,73.38,2.52,6.13,6,0,Low
307,Reyansh Tiwari,67.54,47.02,6.97,5.8,1,0,Low
308,Rohan Shukla,62.76,68.69,0.56,4.06,2,0,Average
309,Dhruv Pillai,78.69,53.19,9.77,9.84,8,0,Average
310,Raj Khanna,94.08,78.46,5.67,5.63,1,1,High
311,Gaurav Tiwari,79.49,42.55,8.5,4.09,3,0,Low
312,Nisha Joshi,95.73,50.95,5.64,7.4,6,1,Average
313,Sai Shukla,87.43,78.25,0.78,8.47,5,0,Average
314,Siddharth Bose,53.93,35.32,6.05,7.68,9,1,Low
315,Aisha Rao,41.78,49.13,9.93,6.94,5,1,Low
316,Reyansh Banerjee,80.78,76.25,0.86,7.71,3,0,Average
317,Sai Patel,49.25,79.82,6.34,8.44,5,1,Low
318,Atharv Shukla,40.31,51.58,3.6,5.62,2,0,Low
319,Kunal Arora,66.93,68.83,4.08,4.16,5,0,Average
320,Kiran Srivastava,87.07,90.46,0.12,6.48,1,0,Average
321,Arjun Reddy,50.17,56.65,1.39,5.81,7,0,Low
322,Payal Chopra,66.08,59.48,4.84,4.46,4,0,Average
323,Pooja Bajaj,69.75,73.17,4.58,4.81,0,1,Average
324,Riya Bose,62.79,90.35,4.4,6.58,10,0,Average
325,Meera Dhawan,76.19,78.67,4.79,5.07,6,1,Average
326,Divya Mehta,77.97,97.74,7.82,5.96,4,1,High
327,Payal Yadav,95.92,43.99,9.97,5.08,8,0,Low
328,Ankita Jain,96.58,44.68,7.98,8.99,1,1,Low
329,Arjun Chaudhary,48.35,51.2,2.53,4.92,6,1,Low
330,Yash Mishra,99.44,63.55,4.01,7.04,6,0,Average
331,Neha Tandon,82.1,86.86,5.94,9.49,1,0,High
332,Gaurav Roy,61.3,75.29,0.44,9.9,10,1,Average
333,Rhea Mishra,97.94,60.13,0.11,5.55,8,0,Average
334,Isha Shah,63.47,84.06,5.89,7.0,5,0,Average
335,Riya Roy,57.73,94.44,0.86,8.99,2,1,Low
336,Sneha Kumar,67.32,44.48,4.83,6.86,7,1,Low
337,Ankita Reddy,58.02,86.71,1.15,9.1,10,0,Low
338,Zara Menon,95.8,81.83,5.16,7.31,5,1,High
339,Ritika Bajaj,87.87,74.08,1.86,7.94,6,0,Average
340,Priya Kumar,92.99,61.47,4.3,4.03,3,0,Average
341,Ayaan Chatterjee,74.64,85.97,5.37,6.19,3,1,Average
342,Nikhil Mehta,80.24,64.26,9.66,5.88,6,1,Average
343,Ankita Joshi,60.88,89.19,6.17,8.88,4,0,Average
344,Shreya Arora,58.79,46.7,1.17,6.24,2,1,Low
345,Dev Reddy,48.27,56.86,1.86,7.81,10,0,Low
346,Aarav Jain,69.38,39.82,3.15,6.71,0,1,Low
347,Ankita Jain,48.19,87.07,9.64,7.03,7,1,Low
348,Meera Gupta,64.94,88.79,4.89,4.5,0,0,Average
349,Kiran Mehta,56.49,67.63,1.68,6.74,7,0,Low
350,Raj Pillai,56.07,68.02,9.91,7.25,0,1,Low
351,Rhea Chatterjee,99.39,37.17,8.3,8.51,4,0,Low
352,Varun Bhatia,60.91,87.17,4.39,9.96,3,0,Average
353,Yash Pillai,81.35,90.27,6.1,6.57,9,0,High
354,Sneha Mukherjee,88.81,86.38,5.7,7.19,9,0,High
355,Krishna Tripathi,57.36,48.71,8.58,9.91,10,0,Low
356,Ishaan Bose,95.13,99.47,8.67,4.76,2,0,High
357,Sakshi Tripathi,89.71,83.3,6.76,6.94,9,1,High
358,Komal Mishra,62.51,35.29,7.95,8.61,6,1,Low
359,Sakshi Tandon,67.28,64.16,5.82,9.21,1,1,Average
360,Rohan Banerjee,81.84,89.51,7.96,6.39,6,0,High
361,Ankita Singh,59.37,49.85,5.47,4.78,7,1,Low
362,Zara Sharma,42.76,73.83,8.37,4.1,2,1,Low
363,Shaurya Banerjee,99.51,59.95,9.96,9.46,10,1,Average
364,Vihaan Tiwari,45.6,55.23,0.82,7.99,10,0,Low
365,Aarav Pillai,77.54,80.82,7.55,6.58,1,0,High
366,Komal Roy,68.61,39.29,2.26,8.08,0,0,Low
367,Nisha Patel,89.03,99.17,4.22,4.79,1,0,Average
368,Siddharth Joshi,83.85,37.17,3.13,9.29,2,1,Low
369,Rhea Ghosh,78.49,77.4,0.68,7.38,9,0,Average
370,Pranav Patel,83.35,73.97,1.51,6.47,10,1,Average
371,Sneha Joshi,93.8,39.8,1.23,8.38,5,1,Low
372,Siddharth Dhawan,54.87,75.12,2.48,7.61,9,1,Low
373,Ritika Tiwari,41.61,89.29,8.76,5.23,9,0,Low
374,Ayaan Krishnan,57.73,33.82,8.98,9.73,7,1,Low
375,Krishna Pandey,69.97,71.58,5.28,9.87,5,1,Average
376,Vivaan Bhatia,91.65,69.79,3.65,8.1,7,0,Average
377,Sakshi Saxena,44.05,48.35,0.4,4.36,6,1,Low
378,Priya Patel,86.03,59.65,4.02,7.84,8,0,Average
379,Tanvi Bhatia,58.59,65.79,2.03,8.85,8,1,Low
380,Vihaan Krishnan,78.06,88.42,6.81,4.4,6,0,High
381,Ayaan Sharma,45.17,60.41,4.53,7.65,4,0,Low
382,Shaurya Mishra,82.47,79.1,1.64,9.72,8,1,Average
383,Varun Shukla,47.62,84.68,2.69,9.32,0,1,Low
384,Zara Saxena,56.32,34.47,7.12,7.46,1,1,Low
385,Kiran Walia,61.61,64.97,5.67,6.21,4,0,Average
386,Aditya Agarwal,83.37,45.99,5.09,4.26,0,0,Low
387,Dhruv Bose,61.84,94.42,1.79,9.76,0,1,Average
388,Ayaan Saxena,54.9,94.11,3.2,8.96,9,1,Low
389,Arjun Yadav,80.4,33.69,2.23,7.09,0,1,Low
390,Divya Iyer,91.96,84.15,3.11,4.52,7,0,Average
391,Siddharth Iyer,57.5,84.92,7.4,5.46,5,1,Low
392,Dhruv Kapoor,83.95,68.26,7.96,4.9,6,0,Average
393,Ramesh Das,60.79,88.77,8.77,9.71,0,1,Average
394,Simran Banerjee,46.24,67.09,2.38,6.95,0,0,Low
395,Ritika Patel,45.58,94.49,8.97,7.12,5,1,Low
396,Aisha Tandon,74.85,65.38,6.37,6.37,9,0,Average
397,Sneha Chaudhary,97.85,46.57,2.61,5.89,6,1,Low
398,Ishaan Shah,56.32,35.23,2.03,8.68,9,0,Low
399,Riya Yadav,49.86,62.62,4.07,7.22,3,1,Low
400,Pranav Bose,55.9,38.39,1.58,8.12,9,0,Low
401,Diya Rao,48.9,79.78,9.68,6.38,0,1,Low
402,Zara Shah,41.86,58.31,4.52,8.49,3,0,Low
403,Advik Tiwari,88.23,39.79,0.12,8.98,3,0,Low
404,Vivaan Kumar,62.33,74.12,6.45,7.49,4,0,Average
405,Aditya Yadav,51.87,75.22,8.09,4.55,5,0,Low
406,Nisha Walia,43.04,94.69,4.33,8.35,7,0,Low
407,Aditya Bajaj,65.6,54.78,9.08,5.65,7,0,Average
408,Vihaan Patel,77.15,47.2,2.95,6.47,8,1,Low
409,Sakshi Kapoor,56.79,39.61,1.99,9.31,8,0,Low
